$\beta_{c||}$,$v_t/c$,$n_{spec}$,$\alpha_c$,$\tau_b$,$\alpha_b$,$D_b$,$vv_b$,$vv_e$,case,$k_\perp$,$k_{||}$,$\omega_r / \Omega_p$,$\gamma / \Omega_p$,$P_1$,$P_2$,$P_3$,$P_4$,$P_5$,$Re(E_x)$,$Im(E_x)$,$Re(E_y)$,$Im(E_y)$,$Re(E_z)$,$Im(E_z)$,$Re(B_x)$,$Im(B_x)$,$Re(B_y)$,$Im(B_y)$,$Re(B_z)$,$Im(B_z)$
0.28590602,0.00010207246,3,2.5473046,0.64460665,0.70282602,0.086265787,0.76416564,0.060685948,35.0,0.001,0.5985,0.54159,0.037083,-0.063454,0.00037831,2.0353e-08,0.0,0.0,1.0,0.0,4.14e-06,-1.0,-0.000578,0.00105,462.0,6750.0,6750.0,-462.0,-0.772,-11.3
0.81921256,0.00015397552,3,1.5277594,1.8338563,1.7173882,0.071881533,1.0182333,0.068284303,36.0,0.001,0.41259,0.31891,0.0021893,-0.0068547,-9.961e-08,3.9024e-08,0.0,0.0,1.0,0.0,1.6e-05,-1.0,-0.000233,0.000631,46.6,6800.0,6800.0,-46.7,-0.113,-16.5
1.9947156,0.0001586079,3,0.59249443,1.7027582,1.1669687,0.075020157,1.1764394,0.082098082,,,,,,,,,,,,,,,,,,,,,,
0.84238279,0.00018319221,3,0.43591857,1.7920462,0.85206062,0.063935481,0.62726063,0.037694082,,,,,,,,,,,,,,,,,,,,,,
0.51989567,9.8889926e-05,3,1.9547858,0.50010014,1.1019888,0.055198427,0.93471152,0.04889467,,,,,,,,,,,,,,,,,,,,,,
0.53789073,0.00013384332,3,0.74105048,0.90547711,0.8667177,0.12219372,0.62911862,0.068503931,,,,,,,,,,,,,,,,,,,,,,
1.2308058,0.00014129757,3,0.77784806,0.85952544,0.60554701,0.093339674,0.85253984,0.072782293,,,,,,,,,,,,,,,,,,,,,,
1.534766,0.00014920365,3,1.0865719,0.97465068,0.68885255,0.10152841,1.0795473,0.099502094,,,,,,,,,,,,,,,,,,,,,,
0.9773131,0.00016237177,3,1.0251774,1.4887369,0.75383621,0.13053904,0.74050379,0.08550287,,,,,,,,,,,,,,,,,,,,,,
0.82076162,0.00016849024,3,0.82532662,1.3601379,0.35362038,0.10161329,0.73706901,0.067987539,,,,,,,,,,,,,,,,,,,,,,
0.40394059,0.00016146427,3,0.66185594,1.6217996,1.5910101,0.12750719,0.47742063,0.053990569,,,,,,,,,,,,,,,,,,,,,,
1.0183097,0.00011179617,3,2.1366327,0.45742968,0.70585012,0.071748324,1.07304,0.071834661,,,,,,,,,,,,,,,,,,,,,,
0.36350602,0.00011682173,3,1.7786155,0.62386888,0.94110882,0.087768555,0.77227074,0.062311545,,,,,,,,,,,,,,,,,,,,,,
1.2052249,0.00014532004,3,1.0857011,1.4881268,0.79082513,0.078486688,0.91218358,0.066384353,,,,,,,,,,,,,,,,,,,,,,
0.3512961,0.00010656309,3,1.6888001,0.4157216,1.1987777,0.086536281,0.6684491,0.053238578,,,,,,,,,,,,,,,,,,,,,,
0.85788941,0.00011519792,3,2.1706009,0.44491282,0.64307326,0.084375747,0.95476174,0.074290298,,,,,,,,,,,,,,,,,,,,,,
0.39288867,0.00012462842,3,1.4944466,0.65302056,0.7128337,0.15233018,0.63002169,0.083284341,,,,,,,,,,,,,,,,,,,,,,
0.97508132,0.00014021665,3,0.39856759,1.6653112,2.5772934,0.095322616,0.97853404,0.085158996,,,,,,,,,,,,,,,,,,,,,,
0.96959895,0.00013867632,3,1.2812122,1.138384,1.0877852,0.068454973,0.91700649,0.058752503,,,,,,,,,,,,,,,,,,,,,,
0.19862841,8.047172e-05,3,2.4000103,0.44563681,1.7883222,0.11323324,0.62838304,0.063916147,,,,,,,,,,,,,,,,,,,,,,
1.5919997,0.00014431517,3,1.2265198,0.69410819,0.9011488,0.092277505,1.2027682,0.10161153,,,,,,,,,,,,,,,,,,,,,,
0.47047681,0.00015120606,3,0.80092382,1.2063458,1.5289948,0.10871947,0.62951124,0.061728939,,,,,,,,,,,,,,,,,,,,,,
0.46681005,0.00014027677,3,0.91962892,0.90788603,0.86849695,0.12472748,0.63918114,0.070882224,,,,,,,,,,,,,,,,,,,,,,
0.50917482,9.700175e-05,3,2.3193035,0.37383592,0.79562962,0.08132761,1.1495039,0.086455964,,,,,,,,,,,,,,,,,,,,,,
0.63280094,0.00014090138,3,1.6241318,1.3950173,2.3059213,0.17742836,0.83734417,0.12618077,,,,,,,,,,,,,,,,,,,,,,
0.98138702,0.00013975096,3,1.1157409,0.73320466,0.36895621,0.070962183,1.0026397,0.06643451,,,,,,,,,,,,,,,,,,,,,,
0.57310426,0.0001303859,3,1.3695248,0.54161125,0.65076816,0.096812166,0.81918585,0.072306745,,,,,,,,,,,,,,,,,,,,,,
0.62809926,0.00014057579,3,0.86305285,0.9266963,0.91784531,0.095790692,0.84194994,0.073600538,,,,,,,,,,,,,,,,,,,,,,
0.61044884,0.00013853895,3,1.3001574,1.543481,1.400364,0.11690924,0.83113086,0.086996309,,,,,,,,,,,,,,,,,,,,,,
0.92287189,0.00014799122,3,0.59667826,0.81170696,0.17082791,0.099955335,0.96950078,0.088099845,,,,,,,,,,,,,,,,,,,,,,
0.96973449,0.00018034897,3,0.81384581,1.2490681,1.2587668,0.12010812,0.91242856,0.097838841,,,,,,,,,,,,,,,,,,,,,,
1.0877317,0.00016931781,3,0.89901561,1.1640413,1.1908102,0.092798561,0.84619468,0.071857914,,,,,,,,,,,,,,,,,,,,,,
0.45863467,7.8931262e-05,3,3.7196105,0.17702359,0.67274636,0.075471707,0.96114892,0.0674503,,,,,,,,,,,,,,,,,,,,,,
1.2584565,0.00015087872,3,1.1070727,0.83287835,0.91882342,0.13877077,0.56243831,0.068538047,,,,,,,,,,,,,,,,,,,,,,
1.31786,0.0001651224,3,0.87861401,1.2437043,0.60239357,0.082601123,0.83108848,0.063411668,,,,,,,,,,,,,,,,,,,,,,
0.83236527,0.0001601238,3,0.52588677,1.2875406,1.0085711,0.10695986,0.86416012,0.083500221,,,,,,,,,,,,,,,,,,,,,,
1.815847,0.00016398587,3,0.75272042,1.1353192,0.75610495,0.070362844,1.1134466,0.073195189,,,,,,,,,,,,,,,,,,,,,,
0.46412852,9.5145573e-05,3,2.4080937,0.31548285,1.0922233,0.09176065,0.9536382,0.08015205,,,,,,,,,,,,,,,,,,,,,,
0.79178816,0.00012227053,3,1.2130976,0.90158862,1.7953303,0.067371733,1.0103903,0.06377504,,,,,,,,,,,,,,,,,,,,,,
1.0038222,0.00012982107,3,0.79961348,1.0518141,1.6472912,0.081931718,0.83307219,0.063086495,,,,,,,,,,,,,,,,,,,,,,
0.58601457,0.00014390981,3,0.93548864,0.75364453,0.89315462,0.11296213,0.83351415,0.084599435,,,,,,,,,,,,,,,,,,,,,,
0.55182517,9.8221899e-05,3,2.9244227,0.36504316,0.335603,0.094715253,0.93641961,0.081019238,,,,,,,,,,,,,,,,,,,,,,
0.45511431,0.0001167454,3,1.5167482,0.53918427,0.69181359,0.10257286,0.78988087,0.073482625,,,,,,,,,,,,,,,,,,,,,,
1.0748309,0.00015327912,3,0.93767238,1.250475,0.61300683,0.094251722,0.84408242,0.072702564,,,,,,,,,,,,,,,,,,,,,,
0.84757715,0.00015580798,3,1.0298651,0.94020963,0.71273017,0.07466244,0.82334441,0.057201996,,,,,,,,,,,,,,,,,,,,,,
1.2982296,0.00018191867,3,0.52775401,1.1606625,0.84915489,0.08956866,0.71073264,0.058424927,,,,,,,,,,,,,,,,,,,,,,
0.74985749,0.00015585672,3,1.0080993,0.90022975,0.26904127,0.077783152,0.74101061,0.053479016,81.0,0.001,0.74417,1.3091,0.00088994,0.00016785,-0.00084771,1.9318e-08,0.0,0.0,1.0,0.0,5.49e-07,1.0,0.00021,-9.55e-05,-2.47,-3630.0,3630.0,-2.47,0.00332,4.88
0.61674577,0.00017261064,3,0.74620128,2.8604751,1.503831,0.10276486,0.56397158,0.052555811,,,,,,,,,,,,,,,,,,,,,,
0.60800904,0.00013541295,3,1.0960556,1.0584171,1.7958618,0.12408254,0.89642149,0.098952703,,,,,,,,,,,,,,,,,,,,,,
2.6801209,0.00016587427,3,0.65548944,0.93366057,1.4082299,0.1017282,1.1720867,0.10822386,84.0,0.001,0.4985,-0.36945,0.0044537,0.012931,-0.00084703,-1.1756e-07,0.0,0.0,1.0,0.0,2.01e-06,-1.0,0.000143,0.000356,121.0,-10000.0,-10000.0,-121.0,-0.243,20.2
0.65077752,0.00015384782,3,1.1539618,1.1184865,1.3989134,0.10031199,0.71221775,0.064930707,,,,,,,,,,,,,,,,,,,,,,
0.98265064,0.00013845257,3,1.1205963,0.78316051,0.85513306,0.08152768,0.94532168,0.071260616,,,,,,,,,,,,,,,,,,,,,,
0.42146438,0.00012173446,3,1.6238352,0.66218436,0.97314858,0.098715954,0.7216785,0.064840019,87.0,0.001,0.36447,0.36022,0.00088379,-0.0024837,3.1039e-05,5.4522e-08,0.0,0.0,1.0,0.0,1.36e-05,-1.0,-0.000413,0.000722,15.9,6520.0,6520.0,-16.0,-0.0437,-17.9
1.1657805,0.00015365081,3,1.5536771,1.1887939,0.55223262,0.083603084,0.83421797,0.064361788,,,,,,,,,,,,,,,,,,,,,,
2.7013357,0.00018261926,3,0.75279748,1.524917,0.7963416,0.071037427,1.2237669,0.081166886,,,,,,,,,,,,,,,,,,,,,,
0.49824327,0.0001415329,3,1.0845535,0.87560928,0.70864171,0.10804621,0.67182767,0.065510564,,,,,,,,,,,,,,,,,,,,,,
4.9856153,0.00014170911,3,0.79943568,0.93435329,0.30362427,0.070990138,2.3625693,0.15660267,,,,,,,,,,,,,,,,,,,,,,
0.47523367,0.00010326674,3,3.0148339,0.38894668,0.90999609,0.092467234,0.74732387,0.063253395,,,,,,,,,,,,,,,,,,,,,,
2.5814283,0.00017339204,3,0.29734635,1.056519,1.0512993,0.099399947,1.2221947,0.11050159,,,,,,,,,,,,,,,,,,,,,,
2.118937,0.00017104791,3,0.87435436,1.1030298,0.45454773,0.084682569,0.95291907,0.074395806,,,,,,,,,,,,,,,,,,,,,,
0.80048198,0.00013622608,3,1.2341963,1.3935196,1.5281725,0.092750728,0.82571197,0.070084833,,,,,,,,,,,,,,,,,,,,,,
0.69114745,0.00015371412,3,1.3208222,1.6202927,1.4759803,0.11021279,0.78883135,0.078308731,,,,,,,,,,,,,,,,,,,,,,
2.3297412,0.00015970065,3,1.1692396,0.78441942,0.44234541,0.09397278,1.4171699,0.12173535,,,,,,,,,,,,,,,,,,,,,,
0.4139922,9.973257e-05,3,2.1905334,0.35742715,0.97193682,0.066937678,0.95212018,0.059732962,,,,,,,,,,,,,,,,,,,,,,
0.9972403,0.00015039038,3,0.6813612,1.1180217,0.92796844,0.080352291,0.93286997,0.069382854,,,,,,,,,,,,,,,,,,,,,,
0.94173175,0.00015252084,3,0.8212412,1.0945019,1.3266917,0.15309258,0.97972894,0.13007578,,,,,,,,,,,,,,,,,,,,,,
0.4331834,0.00013613886,3,1.8546931,0.89525193,1.2172382,0.10625415,0.69077945,0.066348493,101.0,0.001,0.46705,0.4225,0.0079127,-0.018451,-7.8015e-05,2.9085e-08,0.0,0.0,1.0,0.0,8.58e-06,-1.0,-0.000357,0.000787,112.0,5960.0,5960.0,-112.0,-0.239,-12.8
1.2803745,0.00017405915,3,0.75095123,2.8498223,3.1355386,0.11398675,0.74058104,0.075777963,,,,,,,,,,,,,,,,,,,,,,
0.90417361,0.0001514149,3,1.2995332,1.0951982,1.1291986,0.092185616,0.92437071,0.078021728,,,,,,,,,,,,,,,,,,,,,,
0.079766579,4.6410634e-05,3,8.7736855,0.13103682,1.5151836,0.05232995,0.76249576,0.037917487,104.0,0.001,0.9828,0.78394,0.21594,-0.14733,-0.00074851,6.331e-09,0.0,0.0,1.0,0.0,-3.43e-07,-1.0,-0.00111,0.00178,2330.0,8480.0,8480.0,-2330.0,-2.38,-8.62
0.99764597,0.00016092688,3,0.56742179,1.1960372,1.485142,0.098057762,0.83072895,0.074184999,,,,,,,,,,,,,,,,,,,,,,
0.45665208,0.0001335369,3,0.93726146,1.9712133,1.7295078,0.069521382,0.54316026,0.035306375,,,,,,,,,,,,,,,,,,,,,,
