0,1,2,3,4,5,6,7,8
5.1252379,6.609416,400.8707,106211.41305164999,102705.340234305,0.42657501,441.22589,145344.598415025,83409.4486281975
3.2320971,6.1334429,708.99994,113523.88031198249,58037.034338692494,0.4674373,749.45483,90671.5348432425,125845.89800685
5.0824795,6.6506081,433.46222,100158.38488956749,172490.7736344,0.53035218,479.8624,44044.5905277225,77747.07287481001
5.2283096,3.3100696,410.18982,73545.1938989175,117955.94664577498,0.6129337,451.1138,99980.80432485,77874.4313762325
5.1823654,4.4409986,512.64526,88247.19523056,174590.391947175,0.46838254,546.21783,115865.600348475,96819.6887781075
4.4070945,4.77423,579.5116,96750.81940359,153246.699713775,0.37050191,622.76276,154460.904373575,145409.22401475
4.987627,5.4804735,433.457,138706.7985105,116923.004666475,0.55286396,482.34186,80859.55501773,158394.350958525
3.810159,6.0545158,580.55634,143359.23825539998,130314.4988667,0.35606509,615.83038,116998.085943225,151702.69445347498
4.9997506,4.3160424,627.00818,36719.56717134,168573.7358478,0.66581482,664.30743,79443.26915958,82870.8547720875
5.3690424,6.4064364,385.59357,87421.1746969875,160394.95946399999,0.57202506,422.93445,103341.88904639249,93570.21405710999
4.6127043,5.3961887,427.77689,119979.38125192499,104014.0277762025,0.49579418,464.01392,135214.50954795,107353.60931292
5.3242812,6.2215652,416.43448,53807.1455208075,149295.614250825,0.64522225,449.27316,99702.2945643975,137428.850194875
6.1035237,6.0022383,528.05511,86264.2430098725,105313.740378465,0.53510553,566.21503,66928.0895042775,110966.0573295825
5.0551505,7.1784234,601.48468,142233.48328515,125567.401011375,0.51083684,632.07581,93812.17072426499,130487.85886567499
5.4791489,5.2365704,154.86432,66832.07366442749,102619.10700902999,0.39515403,199.10831,67408.87077729001,132526.518608625
3.3434062,6.1882472,554.98254,103537.77342839251,138871.65239265,0.57511884,594.32318,150593.71962637498,122874.46654439998
4.9507155,5.1309466,391.63318,114011.06960369999,102035.90187746249,0.49533784,435.83575,122894.832485775,48312.067562535005
4.1011958,5.0089459,402.64865,129218.68357095,64938.48673031249,0.35947669,436.98718,94230.922329795,105727.49971733999
6.0360336,5.9224215,494.56073,111927.5966665575,78000.82670208,0.39713651,535.07263,97978.81720180501,61741.64665335749
4.1804819,4.9048891,443.37738,105048.65357208,143137.70787314998,0.62123984,479.79034,56162.101678515,104459.3282140275
3.8053646,3.6260836,363.65918,93598.41305285999,109410.3663126075,0.36639017,400.57098,160197.276380625,101252.16359118
6.0777311,5.0795116,299.50323,99202.40063871,117026.18049825,0.71277678,342.96689,64189.04561766749,166815.6038922
4.0577526,4.8797164,557.1272,115208.2353394425,66276.03124452749,0.64790493,602.63715,107880.03002230499,116647.13029365
4.5602341,6.2638006,459.03424,132560.89121167499,158994.1076241,0.58400542,495.01291,155857.05638085,130281.275111625
4.2179279,6.792582,444.54807,96990.529434705,137540.6365842,0.49312013,495.25424,59734.40384094,84726.35913651
5.0783796,5.4448156,380.67419,115968.9769385325,78439.7574161325,0.3667475,424.54889,104195.95771688999,79671.15882153
3.599998,6.3594193,449.89261,187389.85809547498,64605.9915591075,0.42660549,488.86569,127229.54033617499,140880.92947829998
4.8287063,4.6032653,360.03143,103502.5142396325,71755.89799143,0.4560045,398.87762,139681.729469325,114708.67330317
5.9690804,8.0201941,290.70453,130455.81877215,136362.52199715,0.72750509,324.11758,85755.77217975749,118659.273696975
4.13131,6.5876894,410.18253,121950.549077475,153280.01630505,0.4144755,449.22137,82030.370358555,79955.93386502999
4.9807577,5.3743448,458.5564,105313.884274575,123708.99435525,0.47148886,493.31915,145916.074853175,135143.199741825
6.6402564,6.7333984,527.06738,176066.696408625,52745.256053895,0.58000529,559.81091,51615.5984818875,23151.43585428
6.1098599,5.1543875,439.60916,125446.8648102,118731.941232525,0.45387748,479.97131,123052.30589002499,109507.61107165499
4.7295308,5.9455633,599.42126,82088.6935407525,85476.38743811999,0.55640507,652.27765,122410.59886657499,127902.393904725
6.4328823,6.006094,453.005,56723.72123313,144492.60579405,0.51812041,496.73239,87997.4136321975,61846.87184424749
5.6393356,5.8119774,518.06708,129077.584151475,197199.49960920002,0.41777384,569.99127,70385.87705355,120879.869182875
4.239069,7.5361071,544.45801,136961.08339665,81148.6782767475,0.56535995,584.06055,80434.84448861249,93864.9492644175
6.0014281,4.7816687,347.55768,182709.683535825,79646.540982195,0.3057183,385.08688,101955.89912166001,86872.6032702825
5.1727095,7.5235529,584.68555,53241.669782535,104076.05860413749,0.4152883,623.11292,106462.01276902501,117319.949048625
5.8349295,5.4068785,338.41086,97530.617953635,72275.11345124249,0.66068661,372.82614,107711.857246005,93355.77055827751
3.9888997,5.188014,252.20534,108696.84816755248,84549.63150438,0.48424754,284.7533,126461.46003547499,76578.36027391501
4.2206998,6.4957137,449.24905,121201.082434875,131693.685058425,0.65949947,488.22253,124353.358814925,85661.1279947625
4.5861778,4.1237197,345.74481,143538.57458475,147152.50217835,0.53830642,382.20258,96416.35378404,72682.1398447125
5.937202,5.390213,337.4216,154559.9722035,127562.4625539,0.54771727,378.5123,113635.51236112499,40183.83352692
6.5511236,3.5169892,477.03156,141938.5658868,93942.8829334125,0.44844145,513.38855,87519.17839197,139243.9023456
3.5848579,5.5378938,486.564,68045.8234268475,145388.927700525,0.39733461,522.19861,148756.908991275,105000.08167224
6.3547912,5.689074,313.25873,74301.0383884575,132152.9805534,0.49932182,358.11328,119097.205261425,112083.430351425
4.3094301,5.605721,344.086,114973.71601235999,124827.09033899999,0.43997449,380.28052,77260.7028625575,61099.704058049996
5.5770187,5.0890722,485.25558,61824.58303308,104409.3614502825,0.44038936,521.28088,148716.3047583,178277.78778855
4.6294351,7.327786,382.60632,72249.826030815,156825.5468283,0.61828738,418.20166,162390.97257757498,104429.2933824225
5.1458993,3.5426855,535.64539,84563.2656608025,126375.28483282501,0.53965789,573.19513,129495.56753745,92308.799868705
4.6135855,5.5833344,497.75787,107040.1490440725,42662.734134795,0.53221804,539.40875,64276.3627055775,165659.0505126
4.4132218,5.1936636,369.24167,104701.318534305,134144.607156525,0.35553211,407.95386,91973.6368172025,100047.560515365
5.9073291,5.6612444,462.70721,35256.086870467494,84614.9707823925,0.64104104,496.71796,79113.944344605,141481.21995202499
3.3669226,4.583107,505.61542,113389.1517767325,139074.046913175,0.42291766,546.85284,163359.48623407498,147211.209470325
6.1839199,4.162003,447.9201,124476.07666679999,99695.85289257,0.45249075,489.51813,103184.4063585225,157768.426089075
5.7488289,4.1466966,265.81308,107131.95012044249,98521.639746825,0.51720703,305.15076,118001.5408245,102483.97927812
4.1875129,5.0187416,409.55829,51227.912189782495,118813.08007132499,0.40816227,456.39923,137033.1474969,109027.62702951001
4.8479095,3.9620547,553.17188,108088.12236460499,175549.366684125,0.70298088,597.63037,77481.56598462,178666.40012175
4.7877698,6.0921702,309.41568,106330.3164961575,118637.085845175,0.43231371,351.814,145021.3311621,53506.517535704996
5.6406131,5.6728301,452.54105,92556.9034527525,126758.976847425,0.54919899,494.83374,170891.774530125,111210.9244116075
5.3702688,4.8481274,313.9816,107589.18000996749,92855.14670796749,0.46440548,358.74796,116099.72164035,106561.58191442999
